"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32"
"DL1",-3.86113775442585,31.1295969856436,11.1704281416691,-5.85450026478334,1.57343688572377,-16.5657655056946,10.7730355952939,-15.2560048011991,2.03863908224064,9.94997550433009,-14.0649591000043,1.45745400037607,14.627725266439,-11.670584306814,-2.19307382468243,-16.4760636672322,-20.3570888344816,22.0357978222207,17.88785629037,7.13603403317494,-31.0209720017046,-8.386395937728,-0.267496258769417,0.627247359884813,3.08552426361668,1.39560911994149,1.10059005154936,2.7916288375961,-1.26125801310919,-0.127723238817622,0.255876587512766,1.02108317460992e-13
"DL2",46.5339364209772,68.0491512027017,22.9485284184616,-33.4825483491574,5.89834604333623,-7.82038367341854,-25.7804602066277,5.07262581019804,34.1497107810609,-2.53705731933817,-28.0028496841638,-25.7256400325209,-1.57237202375471,4.36503374646678,-11.5397930175152,10.9914138156514,15.2238135299953,4.17862707909623,-10.8081664480295,-4.09095266351268,-2.63362517884484,-3.99889540501299,-9.21231971422954,-3.99228137678858,5.39130686119619,1.1227663393648,1.14522495047169,0.930474875964049,2.05383983487632,0.281506138251726,-0.0834771503384214,9.68444617034658e-14
"DL3",34.8995204462446,14.5896302836462,49.6465589681266,-18.5102967549049,-17.7334437838869,16.8504632832041,-17.7077152457086,10.5899093212829,-22.5725080580216,15.572821639824,37.8237333175761,-22.6749601608009,17.1022510162013,16.4070774751702,-13.0163888752992,-6.14732013504915,0.689735096902892,3.35721537669907,8.92749792618856,-9.69261211734664,0.0709828031040191,-7.21374171424044,2.07007350027061,-0.549753127982987,0.669443556510123,-1.94441550771491,-0.464216129892757,0.322824908545992,2.39152383950074,-0.520136339075313,-0.761294571659819,9.98620674000361e-14
"DL4",-11.5994862846155,9.26400254301699,33.7832692445135,4.37374725458465,-13.345457283187,19.2649770350555,0.0441574693455267,-7.2067938213259,-4.85410856853471,4.94457321421481,-12.7112203462968,5.05590725964863,-10.0635737642557,4.87659422591999,21.8198544716419,-5.8530891903647,-2.13911311489078,9.18782698938965,6.76296207283018,-29.7262719681916,-0.507671214234505,28.2697777335281,-15.8763269677158,0.128872166064295,-2.98808905220396,4.0919070734987,2.83934757750383,-3.7679367591591,2.22164442975029,4.21425747762901,0.0684241115262217,1.01578142598646e-13
"DL5",17.3348295951981,12.5703513977907,53.4338455481461,19.7337449370144,17.8188309658081,-15.6452331518641,15.8899058226526,-22.5694189612544,-42.7692777961054,-24.7825054485709,-17.904847441866,-19.9332403654101,-11.8040688537106,12.9826702212291,-5.63594727877944,10.2342020121648,1.0169940746093,-4.57251748189956,0.975410682650871,7.73768973537324,1.46729495012615,-1.03830693628194,2.40650820016109,6.77287263179257,-2.041864802592,-0.565269621158672,0.123188475197248,0.552929816944439,2.01485505694804,0.0939824682651566,-0.903871704245173,-5.24261894747219e-14
"DL6",6.08506320126278,43.1180004781549,25.7339473931608,-10.4634563825689,-24.6353125369552,21.0192521830615,-12.7764197210893,-13.5150097098002,1.37593170517872,5.69437602308121,-3.3997102365838,9.77995883554409,-9.92019047320611,8.24408554924429,24.1187722053429,-4.14840182599455,-9.20189850318689,-32.1165699249254,-9.02101364179978,13.1920963626983,-12.9514646771585,-9.69940355888854,5.85020750571346,-7.59450616220025,8.45092379374652,-2.77324144068467,-5.74736413476978,-5.33278498739255,2.4207326022973,2.51068414193808,1.67422176265536,9.04329508413099e-14
"DL7",-13.3709641974592,-2.19916988030232,32.9147202093388,-4.44753704810856,13.8786202249849,0.0124013445773294,3.15286862279385,6.27138893470625,-5.14242662056692,-16.6613601900161,18.0748627936198,7.91813716816565,6.81095295458792,-7.40455562432555,16.3698551728548,-18.8192314819163,30.3309919630859,14.7897884494597,-17.275156989715,21.9086429842593,-6.24744695803233,8.388007828138,-8.50649233850627,-5.88166190067176,0.0683549312203381,-0.760783078143866,2.11380047170312,2.04107965609387,-1.74746019076916,-0.333400210224354,2.10985486008391,9.85180903870231e-14
"DL8",-20.6860014757398,-30.7206794624016,35.106731547858,6.07235867722258,-17.79675509835,13.1186844165551,0.0701842675001517,13.1130439504217,-8.03159797894813,16.3312221462651,-20.8730359344979,21.5120161749043,17.8659563817335,-15.4693793348282,-10.0950707778878,17.3925523751708,24.760231911723,-12.1841451969442,22.3077045462689,9.18266256549807,1.3609056263268,-0.787981789166582,-3.04916508496149,4.86657144610834,-2.9239261269221,2.13768468319418,-0.484385210391265,-0.286142630072061,-1.81979487950947,0.75052745022837,-1.34736197711372,3.9212583917772e-14
"DS1",15.6233617513424,17.6085838460867,26.8029293912739,-23.8220576734445,-3.48431729074528,-25.1686199360534,-21.4118789756586,-5.50084472856665,-4.33542149449085,-6.86098811480161,1.71507377503238,23.632782285622,-11.4404993730659,-18.5154108307215,-26.7653207391684,-23.3064468682131,-6.48516716319491,-12.3984446736207,-8.79852563892907,-8.18127971677585,8.904945297472,7.82005234398637,4.9796549948252,12.9777502033766,-2.74555702449566,-5.47399692851073,2.42930666596369,1.28821793535432,-1.61557000596133,1.45302235937885,1.7456667444028,9.61817431255341e-14
"DS2",-35.4672672018743,7.49450388605471,8.53923239070797,4.793856753541,16.4372180535719,-3.34095628325255,3.7105409059442,0.567957964002429,5.05796425505551,-9.64259965158978,-6.2497871538182,13.0528265654785,-3.22415329189408,9.08901258297219,9.43984836858624,-12.1052691788852,15.5074631086265,4.1132727773647,7.89232134522399,-22.4646634212375,7.60433995166899,-22.5638210912633,23.9554353477714,-10.8533690804112,-0.586274483862762,13.8036949404682,0.0563705578886241,1.64240420689455,-10.3440493153045,-0.563116667029539,-0.769460769579843,9.81456669407743e-14
